track_id,track_name,artist_name,album_name,popularity,explicit,duration_ms,spotify_url
6VPIV7F40XKePGCWjay6gk,MVP,BashfortheWorld,Migo In America,76,True,103186,https://open.spotify.com/track/6VPIV7F40XKePGCWjay6gk
664ponds3PdPH7fTrm33iG,Is heaven far away?,Marigold,I Hope This Doesn't Feel New,32,True,159000,https://open.spotify.com/track/664ponds3PdPH7fTrm33iG
4S6u6gZBQr46NadD5wxkaq,been a long day,kaiyel,been a long day,41,True,158181,https://open.spotify.com/track/4S6u6gZBQr46NadD5wxkaq
55SGSBlLldGUGQv7U9edDG,dancingwiththestars,Gunnr,silk in shadows,58,True,188041,https://open.spotify.com/track/55SGSBlLldGUGQv7U9edDG
736PP5LTtREkDgktNmX3Gu,Superpowers,Daniel Caesar,NEVER ENOUGH,85,False,174512,https://open.spotify.com/track/736PP5LTtREkDgktNmX3Gu
3fnQ0pHSGlrtEY3o6hJb39,SEMPER FI,moshc0re,SEMPER FI,44,True,125117,https://open.spotify.com/track/3fnQ0pHSGlrtEY3o6hJb39
41qWAxJscLySNbohkCe5Hc,Death B4 Dishonor,BashfortheWorld,Migo In America,62,True,209196,https://open.spotify.com/track/41qWAxJscLySNbohkCe5Hc
63Pi2NAx5yCgeLhCTOrEou,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),84,False,215338,https://open.spotify.com/track/63Pi2NAx5yCgeLhCTOrEou
4vzXLFqUnsA3qaopkRKNbI,WENT WEST,BabyChiefDoit,WENT WEST,70,True,156083,https://open.spotify.com/track/4vzXLFqUnsA3qaopkRKNbI
2gDMzGWi8s0IWH0vKEliqV,NO LOWER,Thekidszn,NO LOWER,54,True,149520,https://open.spotify.com/track/2gDMzGWi8s0IWH0vKEliqV
3rvPfLyEjlavdPTV3Kb4QV,All quiet,kantbejibin,All quiet,28,False,105453,https://open.spotify.com/track/3rvPfLyEjlavdPTV3Kb4QV
1VXzJgymsdYpPSjBVFuXee,Heavy As It Gets,Malz Monday,Corner Boy,29,True,141428,https://open.spotify.com/track/1VXzJgymsdYpPSjBVFuXee
02cJYKepmEaULGVqiwwZGI,motion sickness,mcgwn,motion sickness,42,True,114414,https://open.spotify.com/track/02cJYKepmEaULGVqiwwZGI
4ZghT10cagISmqPl9G2ZCf,if u had died,placard,if u had died,34,True,132682,https://open.spotify.com/track/4ZghT10cagISmqPl9G2ZCf
